,Unnamed: 0,BakerStreet,Bayswater,BondStreet,CharingCross,CoventGarden,EdgwareRoad(Bak),EdgwareRoad(Cir),Embankment,GreatPortlandStreet,GreenPark,HydeParkCorner,LancasterGate,LeicesterSquare,MaidaVale,MarbleArch,Marylebone,OxfordCircus,Paddington,PiccadillyCircus,Pimlico,Queensway,RegentsPark,RoyalOak,St.JamessPark,St.JohnsWood,Temple,TottenhamCourtRoad,Victoria,WarwickAvenue,Westminster,geometry,FROM STATION,FROM Zone,zone
239,238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,70.0,10.0,0.0,3.0,47.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,138.0,0.0,0.0,POINT (-0.019940545 51.58301811),WalthamstowCentral,3,3
240,239,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,POINT (0.028760472 51.57490215),Wanstead,4,4
241,240,0.0,0.0,0.0,170.0,10.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,111.0,4.0,32.0,0.0,112.0,14.0,15.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,0.0,0.0,POINT (-0.138278332 51.52457999),WarrenStreet,1,1
242,241,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,40.0,54.0,21.0,81.0,24.0,0.0,7.0,0.0,0.0,2.0,5.0,3.0,71.0,0.0,0.0,POINT (-0.182953293 51.52310444),WarwickAvenue,2,2
243,242,85.0,0.0,19.0,40.0,0.0,0.0,0.0,42.0,0.0,171.0,0.0,0.0,164.0,105.0,1.0,142.0,71.0,156.0,258.0,1.0,207.0,9.0,0.0,0.0,39.0,75.0,41.0,39.0,151.0,49.0,POINT (-0.113259252 51.50314664),Waterloo,1,1
244,243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.4172700070000001 51.6576051),Watford,7,7
245,244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.296392327 51.55186478),WembleyCentral,4,4
246,245,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,7.0,53.0,0.0,0.0,POINT (-0.279242553 51.56332246),WembleyPark,4,4
247,246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,54.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.280657175 51.51777015),WestActon,3,3
248,248,0.0,35.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,68.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.195538812 51.48732891),WestBrompton,2,2
249,249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.18891711 51.60926273),WestFinchley,4,4
250,250,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,63.0,POINT (0.005317394 51.52852552),WestHam,3,3
251,251,21.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,62.0,0.0,14.0,POINT (-0.191126586 51.54747433),WestHampstead,2,2
252,252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.353846697 51.57892424),WestHarrow,5,5
253,253,6.0,14.0,0.0,0.0,0.0,0.0,7.0,16.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,POINT (-0.206203695 51.49010936),WestKensington,2,2
254,255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.437860146 51.56958787),WestRuislip,6,6
255,247,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.200882515 51.52098884),WestbournePark,2,2
256,254,62.0,111.0,99.0,0.0,22.0,0.0,0.0,68.0,0.0,43.0,0.0,0.0,37.0,42.0,0.0,118.0,0.0,199.0,81.0,0.0,0.0,0.0,0.0,0.0,70.0,8.0,69.0,355.0,3.0,0.0,POINT (-0.125002079 51.50140159),Westminster,1,1
257,257,2.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,5.0,0.0,26.0,2.0,31.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,22.0,1.0,0.0,POINT (-0.224631931 51.51223244),WhiteCity,2,2
258,256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,490.0,0.0,7.0,POINT (-0.059420485 51.51958779),Whitechapel,2,2
259,258,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,POINT (-0.222407604 51.54937329),WillesdenGreen,"2,3",2
260,259,35.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.243909143 51.53223396),WillesdenJunction,3,3
261,260,0.0,52.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,31.0,0.0,11.0,0.0,0.0,0.0,0.0,32.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,43.0,2.0,POINT (-0.206662836 51.42110784),Wimbledon,3,3
262,261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.199186275 51.43458095),WimbledonPark,3,3
263,263,9.0,5.0,8.0,0.0,115.0,0.0,0.0,8.0,0.0,9.0,24.0,0.0,27.0,0.0,0.0,0.0,139.0,13.0,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.109526589 51.59745373),WoodGreen,3,3
264,264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.224472609 51.50965819),WoodLane,2,2
265,262,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (0.034056202 51.60720184),Woodford,4,4
266,265,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-0.185425505 51.6178684),WoodsidePark,4,4
